,FUNC_NAME,FUNC_LINE_NO
15243,"int alt_vic_sw_interrupt_set(alt_u32 ic_id, alt_u32 irq)",41
15244,"int alt_vic_sw_interrupt_clear(alt_u32 ic_id, alt_u32 irq)",67
15245,"alt_u32 alt_vic_sw_interrupt_status(alt_u32 ic_id, alt_u32 irq)",94
15246,void altera_nios2_gen2_irq_init(void) ,34
15247,"* Copyright (c) 2017,2004 Altera Corporation, San Jose, California, USA.      *",5
15248,"* copy of this software and associated documentation files (the ""Software""),  *",9
15249,"int alt_alarm_start (alt_alarm* alarm, alt_u32 nticks,",64
15250,unsigned int alt_busy_sleep (unsigned int us),52
15251,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15252,"* copy of this software and associated documentation files (the ""Software""),  *",9
15253,int ALT_CLOSE (int fildes),42
15254,int ALT_CLOSE (int fildes),64
15255,"* Copyright (c) 2003-2005 Altera Corporation, San Jose, California, USA.      *",5
15256,"* copy of this software and associated documentation files (the ""Software""),  *",9
15257,"void alt_dcache_flush (void* start, alt_u32 len)",46
15258,"* Copyright (c) 2003-2005 Altera Corporation, San Jose, California, USA.      *",5
15259,"* copy of this software and associated documentation files (the ""Software""),  *",9
15260,void alt_dcache_flush_all (void),41
15261,"* Copyright (c) 2007 Altera Corporation, San Jose, California, USA.           *",5
15262,"* copy of this software and associated documentation files (the ""Software""),  *",9
15263,"void alt_dcache_flush_no_writeback (void* start, alt_u32 len)",49
15264,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15265,"* copy of this software and associated documentation files (the ""Software""),  *",9
15266,"static int alt_dev_null_write (alt_fd* fd, const char* ptr, int len)",76
15267,ALT_SEM(alt_fd_list_lock),109
15268,int alt_dev_reg (alt_dev* dev),151
15269,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15270,"* copy of this software and associated documentation files (the ""Software""),  *",9
15271,"int alt_dev_llist_insert (alt_dev_llist* dev, alt_llist* list)",40
15272,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15273,"* copy of this software and associated documentation files (the ""Software""),  *",9
15274,alt_dma_rxchan alt_dma_rxchan_open (const char* name),51
15275,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15276,"* copy of this software and associated documentation files (the ""Software""),  *",9
15277,alt_dma_txchan alt_dma_txchan_open (const char* name),51
15278,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15279,"* copy of this software and associated documentation files (the ""Software""),  *",9
15280,void _do_ctors(void),58
15281,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15282,"* copy of this software and associated documentation files (the ""Software""),  *",9
15283,void _do_dtors(void),58
15284,"* Copyright (c) 2013 Altera Corporation, San Jose, California, USA.           *",5
15285,"* copy of this software and associated documentation files (the ""Software""),  *",9
15286,alt_ecc_fatal_exception_register(alt_u32 handler),66
15287,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15288,"* copy of this software and associated documentation files (the ""Software""),  *",9
15289,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15290,"* copy of this software and associated documentation files (the ""Software""),  *",9
15291,void __env_lock ( struct _reent *_r ),43
15292,void __env_unlock ( struct _reent *_r ),51
15293,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15294,"* copy of this software and associated documentation files (the ""Software""),  *",9
15295,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15296,"* copy of this software and associated documentation files (the ""Software""),  *",9
15297,"int ALT_EXECVE (char *name, char ** argv, char** env)",45
15298,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15299,"* copy of this software and associated documentation files (the ""Software""),  *",9
15300,void ALT_EXIT (int exit_code),52
15301,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15302,"* copy of this software and associated documentation files (the ""Software""),  *",9
15303,"int ALT_FCNTL (int file, int cmd, ...)",66
15304,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15305,"* copy of this software and associated documentation files (the ""Software""),  *",9
15306,int alt_fd_lock (alt_fd* fd),54
15307,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15308,"* copy of this software and associated documentation files (the ""Software""),  *",9
15309,int alt_fd_unlock (alt_fd* fd),52
15310,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15311,"* copy of this software and associated documentation files (the ""Software""),  *",9
15312,"alt_dev* alt_find_dev(const char* name, alt_llist* llist)",54
15313,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15314,"* copy of this software and associated documentation files (the ""Software""),  *",9
15315,alt_dev* alt_find_file (const char* name),54
15316,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15317,"* copy of this software and associated documentation files (the ""Software""),  *",9
15318,alt_flash_fd* alt_flash_open_dev(const char* name),49
15319,void alt_flash_close_dev(alt_flash_fd* fd),61
15320,int alt_flash_device_register( alt_flash_fd* fd),70
15321,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15322,"* copy of this software and associated documentation files (the ""Software""),  *",9
15323,int ALT_FORK (void),45
15324,"* Copyright (c) 2006 Altera Corporation, San Jose, California, USA.           *",5
15325,"* copy of this software and associated documentation files (the ""Software""),  *",9
15326,"int ALT_FSTAT (int file, struct stat *st)",63
15327,"int ALT_FSTAT (int file, struct stat *st)",93
15328,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15329,"* copy of this software and associated documentation files (the ""Software""),  *",9
15330,int alt_fs_reg (alt_dev* dev),57
15331,"* Copyright (c) 2015 Altera Corporation, San Jose, California, USA.           *",5
15332,"* copy of this software and associated documentation files (the ""Software""),  *",9
15333,alt_getchar(void),51
15334,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15335,"* copy of this software and associated documentation files (the ""Software""),  *",9
15336,int ALT_GETPID (void),43
15337,"* Copyright (c) 2017,2004 Altera Corporation, San Jose, California, USA.      *",5
15338,"* copy of this software and associated documentation files (the ""Software""),  *",9
15339,"int ALT_GETTIMEOFDAY (struct timeval  *ptimeval, void *ptimezone_vptr)",71
15340,"int ALT_GETTIMEOFDAY (struct timeval  *ptimeval, struct timezone *ptimezone)",75
15341,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15342,"* copy of this software and associated documentation files (the ""Software""),  *",9
15343,int alt_get_fd (alt_dev* dev),54
15344,"* Copyright (c) 2003-2005 Altera Corporation, San Jose, California, USA.      *",5
15345,"* copy of this software and associated documentation files (the ""Software""),  *",9
15346,/* The compiler inserts calls to mcount() at the start of,48
15347,static __inline__ void * mcount_allocate(unsigned int size),133
15348,"void __mcount_record(void * self_pc, void * from_pc, struct mcount_fn_entry * fn_entry, struct mcount_fn_entry * * fn_head)",159
15349,static int nios2_pcsample_init(void),218
15350,static alt_u32 nios2_pcsample(void* context),250
15351,"* Copyright (c) 2003 Altera Corporation, San Jose, California, USA.           *",5
15352,"* copy of this software and associated documentation files (the ""Software""),  *",9
15353,"void alt_icache_flush (void* start, alt_u32 len)",42
15354,"* Copyright (c) 2003 Altera Corporation, San Jose, California, USA.           *",5
15355,"* copy of this software and associated documentation files (the ""Software""),  *",9
15356,void alt_icache_flush_all (void),41
15357,"* Copyright (c) 2009 Altera Corporation, San Jose, California, USA.           *",5
15358,"* copy of this software and associated documentation files (the ""Software""),  *",9
15359,"int alt_ic_isr_register(alt_u32 ic_id, alt_u32 irq, alt_isr_func isr, ",60
15360,"int alt_ic_irq_enable (alt_u32 ic_id, alt_u32 irq)",72
15361,"int alt_ic_irq_disable(alt_u32 ic_id, alt_u32 irq)",83
15362,"alt_u32 alt_ic_irq_enabled(alt_u32 ic_id, alt_u32 irq)",96
15363,"* Copyright (c) 2009      Altera Corporation, San Jose, California, USA.      *",5
15364,"* copy of this software and associated documentation files (the ""Software""),  *",9
15365,"int alt_iic_isr_register(alt_u32 ic_id, alt_u32 irq, alt_isr_func isr, ",75
15366,"* Copyright (c) 2008 Altera Corporation, San Jose, California, USA.           *",5
15367,"* copy of this software and associated documentation files (the ""Software""),  *",9
15368,alt_exception_result (*alt_instruction_exception_handler),49
15369,int alt_instruction_exception_entry (alt_u32 exception_pc),53
15370,alt_instruction_exception_entry (alt_u32 exception_pc),68
15371,alt_exception_cause_generated_bad_addr(alt_exception_cause cause),187
15372,"* Copyright (c) 2008 Altera Corporation, San Jose, California, USA.           *",5
15373,"* copy of this software and associated documentation files (the ""Software""),  *",9
15374,void alt_instruction_exception_register (,73
15375,"* Copyright (c) 2006 Altera Corporation, San Jose, California, USA.           *",5
15376,"* copy of this software and associated documentation files (the ""Software""),  *",9
15377,"int ALT_IOCTL (int file, int req, void* arg)",68
15378,"int ALT_IOCTL (int file, int req, void* arg)",106
15379,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15380,"* copy of this software and associated documentation files (the ""Software""),  *",9
15381,"static void alt_open_fd(alt_fd* fd, const char* name, int flags, int mode)",58
15382,"void alt_io_redirect(const char* stdout_dev, ",85
15383,"* Copyright (c) 2009      Altera Corporation, San Jose, California, USA.      *",5
15384,"* copy of this software and associated documentation files (the ""Software""),  *",9
15385,void alt_irq_handler (void),80
15386,"* Copyright (c) 2009      Altera Corporation, San Jose, California, USA.      *",5
15387,"* copy of this software and associated documentation files (the ""Software""),  *",9
15388,"int alt_irq_register (alt_u32 id, ",75
15389,"* Copyright (c) 2003 Altera Corporation, San Jose, California, USA.           *",5
15390,"* copy of this software and associated documentation files (the ""Software""),  *",9
15391,"* Copyright (c) 2006 Altera Corporation, San Jose, California, USA.           *",5
15392,"* copy of this software and associated documentation files (the ""Software""),  *",9
15393,int ALT_ISATTY (int file),50
15394,int ALT_ISATTY (int file),84
15395,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15396,"* copy of this software and associated documentation files (the ""Software""),  *",9
15397,"int ALT_KILL (int pid, int sig)",49
15398,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15399,"* copy of this software and associated documentation files (the ""Software""),  *",9
15400,"int ALT_LINK ( char *existing, char *new)",45
15401,"* Copyright (c) 2004-2005 Altera Corporation, San Jose, California, USA.      *",5
15402,"* copy of this software and associated documentation files (the ""Software""),  *",9
15403,"extern alt_u32 __flash_exceptions_start __attribute__((section("".data"")));  ",57
15404,void alt_load (void),67
15405,"void alt_log_txchar(int c,char *base)",95
15406,"void alt_log_repchar(char c,int r,int base)",106
15407,"void alt_log_private_printf(const char *fmt,int base,va_list args)",114
15408,"int alt_log_printf_proc(const char *fmt, ... )",344
15409,alt_u32 altera_avalon_jtag_uart_report_log(void * context),363
15410,"void alt_log_jtag_uart_print_control_reg(altera_avalon_jtag_uart_state* dev, int base, const char* header)",379
15411,"void alt_log_jtag_uart_startup_info(altera_avalon_jtag_uart_state* dev, int base)",414
15412,"void alt_log_jtag_uart_isr_proc(int base, altera_avalon_jtag_uart_state* dev) ",424
15413,"void alt_log_write(const void *ptr, size_t len)",440
15414,void alt_log_system_clock(),474
15415,"* Copyright (c) 2004-2005 Altera Corporation, San Jose, California, USA.      *",5
15416,"* copy of this software and associated documentation files (the ""Software""),  *",9
15417,"off_t ALT_LSEEK (int file, off_t ptr, int dir)",42
15418,"off_t ALT_LSEEK (int file, off_t ptr, int dir)",70
15419,"* Copyright (c) 2007 Altera Corporation, San Jose, California, USA.           *",5
15420,"* copy of this software and associated documentation files (the ""Software""),  *",9
15421,void alt_main (void),82
15422,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15423,"* copy of this software and associated documentation files (the ""Software""),  *",9
15424,void __malloc_lock ( struct _reent *_r ),42
15425,void __malloc_unlock ( struct _reent *_r ),50
15426,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15427,"* copy of this software and associated documentation files (the ""Software""),  *",9
15428,"int ALT_OPEN (const char* file, int flags, int mode)",41
15429,static int alt_file_locked (alt_fd* fd),64
15430,"int ALT_OPEN (const char* file, int flags, int mode)",105
15431,"* Copyright (c) 2015 Altera Corporation, San Jose, California, USA.           *",5
15432,"* copy of this software and associated documentation files (the ""Software""),  *",9
15433,"alt_printf(const char* fmt, ... )",51
15434,"* Copyright (c) 2015 Altera Corporation, San Jose, California, USA.           *",5
15435,"* copy of this software and associated documentation files (the ""Software""),  *",9
15436,alt_putchar(int c),50
15437,"* Copyright (c) 2015 Altera Corporation, San Jose, California, USA.           *",5
15438,"* copy of this software and associated documentation files (the ""Software""),  *",9
15439,alt_putcharbuf(int c),58
15440,alt_putbufflush(),73
15441,"* Copyright (c) 2015 Altera Corporation, San Jose, California, USA.           *",5
15442,"* copy of this software and associated documentation files (the ""Software""),  *",9
15443,alt_putstr(const char* str),52
15444,"* Copyright (c) 2006 Altera Corporation, San Jose, California, USA.           *",5
15445,"* copy of this software and associated documentation files (the ""Software""),  *",9
15446,"int ALT_READ (int file, void *ptr, size_t len)",58
15447,"int ALT_READ (int file, void *ptr, size_t len)",82
15448,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15449,"* copy of this software and associated documentation files (the ""Software""),  *",9
15450,void alt_release_fd (int fd),44
15451,"* Copyright (c) 2003,2007 Altera Corporation, San Jose, California, USA.      *",5
15452,"* copy of this software and associated documentation files (the ""Software""),  *",9
15453,"alt_remap_cached(volatile void* ptr, alt_u32 len)",41
15454,"* Copyright (c) 2003,2007 Altera Corporation, San Jose, California, USA.      *",5
15455,"* copy of this software and associated documentation files (the ""Software""),  *",9
15456,"alt_remap_uncached(void* ptr, alt_u32 len)",49
15457,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15458,"* copy of this software and associated documentation files (the ""Software""),  *",9
15459,"int ALT_RENAME (char *existing, char *new)",45
15460,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15461,"* copy of this software and associated documentation files (the ""Software""),  *",9
15462,caddr_t ALT_SBRK (int incr),68
15463,"* Copyright (c) 2017,2004 Altera Corporation, San Jose, California, USA.      *",5
15464,"* copy of this software and associated documentation files (the ""Software""),  *",9
15465,"int ALT_SETTIMEOFDAY (const struct timeval  *t,",72
15466,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15467,"* copy of this software and associated documentation files (the ""Software""),  *",9
15468,"int ALT_STAT (const char *file, struct stat *st)",49
15469,"* Copyright (c) 2017,2004 Altera Corporation, San Jose, California, USA.      *",5
15470,"* copy of this software and associated documentation files (the ""Software""),  *",9
15471,void alt_alarm_stop (alt_alarm* alarm),66
15472,void alt_tick (void),87
15473,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15474,"* copy of this software and associated documentation files (the ""Software""),  *",9
15475,clock_t ALT_TIMES (struct tms *buf),51
15476,"* Copyright (c) 2003,2007 Altera Corporation, San Jose, California, USA.      *",5
15477,"* copy of this software and associated documentation files (the ""Software""),  *",9
15478,alt_uncached_free(volatile void* ptr),40
15479,"* Copyright (c) 2003,2007 Altera Corporation, San Jose, California, USA.      *",5
15480,"* copy of this software and associated documentation files (the ""Software""),  *",9
15481,alt_uncached_malloc(size_t size),42
15482,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15483,"* copy of this software and associated documentation files (the ""Software""),  *",9
15484,int ALT_UNLINK (char *name),45
15485,int ALT_USLEEP (useconds_t us),46
15486,unsigned int ALT_USLEEP (unsigned int us),48
15487,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15488,"* copy of this software and associated documentation files (the ""Software""),  *",9
15489,int ALT_WAIT (int *status),44
15490,"* Copyright (c) 2006 Altera Corporation, San Jose, California, USA.           *",5
15491,"* copy of this software and associated documentation files (the ""Software""),  *",9
15492,"int ALT_WRITE (int file, const void *ptr, size_t len)",61
15493,"int ALT_WRITE (int file, const void *ptr, size_t len)",92
15494,Copyright (2015-19) Intel Corporation,3
15495,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
15496,void process_crete_dfx_function(),91
15497,"void process_cjtag_command(uint32_t cjtag_opcode, uint32_t cjtag_databit_length, alt_u32 * cjtag_data)",122
15498,void clear_cjtag_command_and_databit(),362
15499,"uint32_t prepare_bridge_data_unload(uint32_t number_channel, uint32_t data_size)",383
15500,"void prepare_bridge_data_load(uint32_t number_channel, uint32_t data_size)",422
15501,void iocsr_freeze(uint32_t ssm),460
15502,void iocsr_unfreeze(uint32_t ssm),478
15503,"void iocsr_bridge_unload(iocsr_brdg_dev_t *iocsr_brdg_dev, uint32_t *iocsr_packet, uint32_t *dest_addr)",498
15504,"void iocsr_bridge_unload(iocsr_brdg_dev_t *iocsr_brdg_dev, uint32_t *iocsr_packet, uint32_t *dest_addr)",513
15505,"void iossm_cnoc_return(uint32_t *start_addr, uint32_t num_of_words)",550
15506,void IOSSM_IO_Freeze(),600
15507,void IOSSM_IO_Unfreeze(),612
15508,Copyright (2015-19) Intel Corporation,3
15509,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
15510,static inline void clear_intr() {,47
15511,status_code_t cnoc_rx_init(),57
15512,void cnoc_rx_isr(void* context),113
15513,void supervisory_control_loop(void),253
15514,Copyright (2015-19) Intel Corporation,3
15515,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
15516,static void set_oct_clk(void) {,61
15517,static void wait_oct_en(void) {,80
15518,static void wait_oct_cal(void) {,91
15519,static void power_up_init() {,98
15520,static void power_down_cleanup(void) {,115
15521,"status_code_t hps_csr_enable(const uint32_t* cmd_packet, uint32_t payload_words)",128
15522,"status_code_t hps_csr_disable(const uint32_t* cmd_packet, uint32_t payload_words)",150
15523,"status_code_t hps_io_unfrz(const uint32_t* cmd_packet, uint32_t payload_words)",167
15524,"status_code_t hps_io_refrz(const uint32_t* cmd_packet, uint32_t payload_words)",178
15525,"status_code_t hps_enter_user_mode(const uint32_t* cmd_packet, uint32_t payload_words)",189
15526,"status_code_t hps_exit_user_mode(const uint32_t* cmd_packet, uint32_t payload_words)",213
15527,"status_code_t hps_io_tristate_disable(const uint32_t* cmd_packet, uint32_t payload_words)",236
15528,"status_code_t hps_io_tristate_enable(const uint32_t* cmd_packet, uint32_t payload_words)",256
15529,"status_code_t hps_power_up(const uint32_t* cmd_packet, uint32_t payload_words)",272
15530,"status_code_t hps_power_down(const uint32_t* cmd_packet, uint32_t payload_words)",293
15531,"status_code_t csr_enable(const uint32_t* cmd_packet, uint32_t payload_words)",307
15532,"status_code_t csr_disable(const uint32_t* cmd_packet, uint32_t payload_words)",331
15533,"status_code_t io_unfrz(const uint32_t* cmd_packet, uint32_t payload_words)",350
15534,"status_code_t io_refrz(const uint32_t* cmd_packet, uint32_t payload_words)",361
15535,"status_code_t enter_user_mode(const uint32_t* cmd_packet, uint32_t payload_words)",372
15536,"status_code_t exit_user_mode(const uint32_t* cmd_packet, uint32_t payload_words)",391
15537,"status_code_t io_tristate_disable(const uint32_t* cmd_packet, uint32_t payload_words)",409
15538,"status_code_t io_tristate_enable(const uint32_t* cmd_packet, uint32_t payload_words)",428
15539,void return_status(void) {,453
15540,void warm_reset_warning(void) {,462
15541,uint32_t cnoc_rx_cmd_init(void),534
15542,uint32_t cnoc_rx_cmd_get_next_buf(uint32_t addr),559
15543,static void fake_powerup_sequence(void) {,616
15544,status_code_t cnoc_rx_cmd_loop(void),753
15545,Copyright (2015-19) Intel Corporation,3
15546,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
15547,static status_code_t process_param_data(uint32_t idx) {,54
15548,uint32_t cnoc_rx_param_init(void),63
15549,"uint32_t cnoc_rx_param_get_next_buf(uint32_t addr, uint32_t pkt_size_in_words)",78
15550,status_code_t cnoc_rx_param_loop(void),98
15551,Copyright (2015-19) Intel Corporation,3
15552,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
15553,uint32_t cnoc_rx_ssm_init(void),31
15554,"uint32_t cnoc_rx_ssm_get_next_buf(uint32_t addr, uint32_t pkt_size_in_words)",50
15555,status_code_t cnoc_rx_ssm_loop(void),66
15556,Copyright (2015-19) Intel Corporation,3
15557,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
15558,"void io_cnoc_tx_send_packet(uint32_t size_in_words, uint32_t *data) {",53
15559,void io_cnoc_tx_init() {,68
15560,void io_cnoc_tx_irq_assert() {,72
15561,void io_cnoc_tx_irq_deassert() {,76
15562,Copyright (2015-19) Intel Corporation,3
15563,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
15564,"void csr_receive_pkt(uint32_t addr, uint32_t pkt_size_in_words)",50
15565,uint32_t csr_init(void),64
15566,void check_csr_en(void),81
15567,status_code_t csr_loop(void),112
15568,Copyright (2015-19) Intel Corporation,3
15569,"source code (""Material"") are owned by Intel Corporation or its suppliers or",6
15570,static void log_entry(void) {,48
15571,static void log_exit(void) {,55
15572,void io_fail(ENUM_IOSSM_ERR_CODE err_code) {,62
15573,void cnt_busy(bool busy),69
15574,static void iossm_init(void),83
15575,static void clear_flags(ENUM_IOSSM_TASK task_flags) {,118
15576,void iossm_task_loop(void) {,123
15577,void wait_ns(uint32_t delay_ns) {,245
15578,int seq_main(void),250
15579,int main(void),252
15580,void alt_irq_init ( const void* base ),77
15581,void alt_sys_init( void ),88
15582,"* Copyright (c) 2009 Altera Corporation, San Jose, California, USA.           *",5
15583,"* copy of this software and associated documentation files (the ""Software""),  *",9
15584,"int alt_ic_irq_enable(alt_u32 ic_id, alt_u32 irq)",39
15585,"int alt_ic_irq_disable(alt_u32 ic_id, alt_u32 irq)",71
15586,"alt_u32 alt_ic_irq_enabled(alt_u32 ic_id, alt_u32 irq)",105
15587,"* Copyright (c) 2009 Altera Corporation, San Jose, California, USA.           *",5
15588,"* copy of this software and associated documentation files (the ""Software""),  *",9
15589,void alt_vic_irq_init (alt_vic_dev* pdev),45
15590,"* Copyright (c) 2009 Altera Corporation, San Jose, California, USA.           *",5
15591,"* copy of this software and associated documentation files (the ""Software""),  *",9
15592,"int alt_ic_isr_register(alt_u32 ic_id,",59
15593,"* Copyright (c) 2009 Altera Corporation, San Jose, California, USA.           *",5
15594,"* copy of this software and associated documentation files (the ""Software""),  *",9
15595,"int alt_vic_irq_set_level(alt_u32 ic_id, ",42
15596,"* Copyright (c) 2009 Altera Corporation, San Jose, California, USA.           *",5
15597,"* copy of this software and associated documentation files (the ""Software""),  *",9
15598,"int alt_vic_sw_interrupt_set(alt_u32 ic_id, alt_u32 irq)",41
15599,"int alt_vic_sw_interrupt_clear(alt_u32 ic_id, alt_u32 irq)",67
15600,"alt_u32 alt_vic_sw_interrupt_status(alt_u32 ic_id, alt_u32 irq)",94
15601,void altera_nios2_gen2_irq_init(void) ,34
15602,"* Copyright (c) 2017,2004 Altera Corporation, San Jose, California, USA.      *",5
15603,"* copy of this software and associated documentation files (the ""Software""),  *",9
15604,"int alt_alarm_start (alt_alarm* alarm, alt_u32 nticks,",64
15605,unsigned int alt_busy_sleep (unsigned int us),52
15606,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15607,"* copy of this software and associated documentation files (the ""Software""),  *",9
15608,int ALT_CLOSE (int fildes),42
15609,int ALT_CLOSE (int fildes),64
15610,"* Copyright (c) 2003-2005 Altera Corporation, San Jose, California, USA.      *",5
15611,"* copy of this software and associated documentation files (the ""Software""),  *",9
15612,"void alt_dcache_flush (void* start, alt_u32 len)",46
15613,"* Copyright (c) 2003-2005 Altera Corporation, San Jose, California, USA.      *",5
15614,"* copy of this software and associated documentation files (the ""Software""),  *",9
15615,void alt_dcache_flush_all (void),41
15616,"* Copyright (c) 2007 Altera Corporation, San Jose, California, USA.           *",5
15617,"* copy of this software and associated documentation files (the ""Software""),  *",9
15618,"void alt_dcache_flush_no_writeback (void* start, alt_u32 len)",49
15619,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15620,"* copy of this software and associated documentation files (the ""Software""),  *",9
15621,"static int alt_dev_null_write (alt_fd* fd, const char* ptr, int len)",76
15622,ALT_SEM(alt_fd_list_lock),109
15623,int alt_dev_reg (alt_dev* dev),151
15624,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15625,"* copy of this software and associated documentation files (the ""Software""),  *",9
15626,"int alt_dev_llist_insert (alt_dev_llist* dev, alt_llist* list)",40
15627,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15628,"* copy of this software and associated documentation files (the ""Software""),  *",9
15629,alt_dma_rxchan alt_dma_rxchan_open (const char* name),51
15630,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15631,"* copy of this software and associated documentation files (the ""Software""),  *",9
15632,alt_dma_txchan alt_dma_txchan_open (const char* name),51
15633,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15634,"* copy of this software and associated documentation files (the ""Software""),  *",9
15635,void _do_ctors(void),58
15636,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15637,"* copy of this software and associated documentation files (the ""Software""),  *",9
15638,void _do_dtors(void),58
15639,"* Copyright (c) 2013 Altera Corporation, San Jose, California, USA.           *",5
15640,"* copy of this software and associated documentation files (the ""Software""),  *",9
15641,alt_ecc_fatal_exception_register(alt_u32 handler),66
15642,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15643,"* copy of this software and associated documentation files (the ""Software""),  *",9
15644,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15645,"* copy of this software and associated documentation files (the ""Software""),  *",9
15646,void __env_lock ( struct _reent *_r ),43
15647,void __env_unlock ( struct _reent *_r ),51
15648,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15649,"* copy of this software and associated documentation files (the ""Software""),  *",9
15650,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15651,"* copy of this software and associated documentation files (the ""Software""),  *",9
15652,"int ALT_EXECVE (char *name, char ** argv, char** env)",45
15653,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15654,"* copy of this software and associated documentation files (the ""Software""),  *",9
15655,void ALT_EXIT (int exit_code),52
15656,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15657,"* copy of this software and associated documentation files (the ""Software""),  *",9
15658,"int ALT_FCNTL (int file, int cmd, ...)",66
15659,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15660,"* copy of this software and associated documentation files (the ""Software""),  *",9
15661,int alt_fd_lock (alt_fd* fd),54
15662,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15663,"* copy of this software and associated documentation files (the ""Software""),  *",9
15664,int alt_fd_unlock (alt_fd* fd),52
15665,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15666,"* copy of this software and associated documentation files (the ""Software""),  *",9
15667,"alt_dev* alt_find_dev(const char* name, alt_llist* llist)",54
15668,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15669,"* copy of this software and associated documentation files (the ""Software""),  *",9
15670,alt_dev* alt_find_file (const char* name),54
15671,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15672,"* copy of this software and associated documentation files (the ""Software""),  *",9
15673,alt_flash_fd* alt_flash_open_dev(const char* name),49
15674,void alt_flash_close_dev(alt_flash_fd* fd),61
15675,int alt_flash_device_register( alt_flash_fd* fd),70
15676,"* Copyright (c) 2004 Altera Corporation, San Jose, California, USA.           *",5
15677,"* copy of this software and associated documentation files (the ""Software""),  *",9
15678,int ALT_FORK (void),45
15679,"* Copyright (c) 2006 Altera Corporation, San Jose, California, USA.           *",5
15680,"* copy of this software and associated documentation files (the ""Software""),  *",9
